#providerId, providerName, prvoiderIcon, providerPhoto
0 MIUI
1 搜狗号码通 provider_sogou provider_sogou_photo
2 触宝号码助手 provider_chubao provider_chubao_photo
3 114号码百事通 provider_114 provider_114_photo
4 大众点评 provider_dianping provider_dianping_photo
5 新浪微博 provider_weibo provider_weibo_photo
6 人人 provider_renren provider_renren_photo
7 微信 provider_weixin provider_weixin_photo
8 电话帮 provider_dianhuabang provider_dianhuabang_photo
